iter	Passed	Remaining
271	16244	29801
272	16314	29759
273	16387	29725
274	16458	29685
275	16525	29637
276	16568	29548
277	16611	29458
278	16653	29367
279	16701	29287
280	16754	29215
281	16812	29153
282	16876	29101
283	16955	29075
284	17027	29036
285	17093	28986
286	17152	28925
287	17200	28846
288	17243	28758
289	17288	28674
290	17347	28615
291	17403	28548
292	17469	28498
293	17538	28455
294	17616	28425
295	17681	28373
296	17739	28311
297	17781	28222
298	17823	28135
299	17865	28049
300	17927	27992
301	17982	27926
302	18041	27865
303	18112	27824
304	18189	27790
305	18259	27747
306	18327	27699
307	18369	27614
308	18415	27533
309	18455	27445
310	18503	27368
311	18558	27301
312	18613	27236
313	18676	27182
314	18748	27140
315	18825	27106
316	18895	27061
317	18940	26981
318	18982	26896
319	19026	26814
320	19067	26729
321	19123	26665
322	19181	26604
323	19236	26538
324	19303	26490
325	19379	26453
326	19450	26409
327	19512	26354
328	19563	26282
329	19603	26197
330	19645	26114
331	19700	26050
332	19755	25984
333	19815	25925
334	19891	25888
335	19965	25848
336	20044	25814
337	20112	25765
338	20157	25687
339	20201	25608
340	20240	25523
341	20293	25455
342	20350	25393
343	20410	25335
344	20479	25288
345	20550	25242
346	20629	25207
347	20699	25160
348	20743	25082
349	20787	25004
350	20829	24923
351	20868	24840
352	20932	24787
353	20996	24732
354	21061	24680
355	21133	24636
356	21211	24598
357	21278	24547
358	21340	24491
359	21381	24410
360	21421	24329
361	21470	24258
362	21525	24193
363	21581	24131
364	21648	24080
365	21727	24043
366	21804	24002
367	21872	23952
368	21935	23897
369	21980	23822
370	22026	23748
371	22065	23667
372	22127	23610
373	22180	23544
374	22246	23492
375	22314	23442
376	22391	23400
377	22455	23347
378	22525	23298
379	22568	23221
380	22611	23145
381	22655	23070
382	22714	23011
383	22773	22951
384	22828	22887
385	22899	22839
386	22976	22798
387	23046	22749
388	23109	22694
389	23154	22619
390	23196	22544
391	23244	22473
392	23301	22412
393	23360	22352
394	23417	22291
395	23480	22235
396	23560	22195
397	23640	22155
398	23708	22104
399	23761	22039
400	23805	21965
401	23850	21892
402	23908	21832
403	23964	21769
404	24026	21712
405	24105	21671
406	24186	21631
407	24256	21581
408	24319	21525
409	24364	21452
410	24405	21376
411	24443	21299
412	24500	21237
413	24557	21176
414	24616	21116
415	24701	21079
416	24783	21039
417	24860	20994
418	24921	20936
419	24964	20863
420	25011	20793
421	25054	20720
422	25104	20653
423	25162	20592
424	25228	20538
425	25296	20486
426	25367	20436
427	25445	20392
428	25507	20334
429	25556	20267
430	25603	20197
431	25649	20127
432	25707	20067
433	25765	20006
434	25830	19951
435	25910	19908
436	25991	19865
437	26058	19811
438	26119	19753
439	26162	19681
440	26207	19610
441	26251	19540
442	26296	19470
443	26359	19413
444	26419	19354
445	26486	19300
446	26559	19250
447	26643	19209
448	26708	19154
449	26755	19085
450	26798	19014
451	26839	18942
452	26893	18878
453	26952	18819
454	27013	18761
455	27084	18709
456	27162	18662
457	27241	18616
458	27308	18562
459	27352	18492
460	27398	18424
461	27440	18352
462	27484	18283
463	27541	18222
464	27601	18163
465	27672	18111
466	27752	18065
467	27832	18020
468	27903	17967
469	27953	17902
470	27999	17834
471	28041	17763
472	28084	17694
473	28139	17631
474	28195	17570
475	28263	17515
476	28335	17464
477	28423	17422
478	28488	17366
479	28536	17300
480	28584	17233
481	28631	17167
482	28674	17097
483	28734	17038
484	28789	16976
485	28857	16922
486	28927	16869
487	29011	16824
488	29083	16771
489	29130	16705
490	29176	16638
491	29221	16570
492	29262	16501
493	29318	16439
494	29378	16380
495	29439	16322
496	29515	16272
497	29596	16224
498	29664	16169
499	29730	16113
500	29771	16044
501	29813	15976
502	29858	15908
503	29912	15846
504	29968	15785
505	30041	15733
506	30127	15687
507	30207	15639
508	30277	15584
509	30326	15520
510	30370	15452
511	30418	15387
512	30458	15318
513	30512	15256
514	30567	15194
515	30630	15136
516	30701	15083
517	30779	15033
518	30845	14977
519	30911	14920
520	30962	14857
521	31005	14790
522	31045	14721
523	31096	14657
524	31152	14597
525	31214	14539
526	31287	14485
527	31367	14436
528	31440	14382
529	31507	14327
530	31558	14263
531	31603	14197
532	31647	14131
533	31702	14070
534	31763	14011
535	31837	13958
536	31908	13904
537	31982	13851
538	32050	13795
539	32115	13738
540	32158	13672
541	32205	13606
542	32249	13541
543	32309	13481
544	32365	13421
545	32428	13363
546	32502	13310
547	32579	13257
548	32650	13202
549	32706	13142
550	32754	13078
551	32801	13013
552	32844	12947
553	32889	12882
554	32945	12822
555	33004	12762
556	33076	12707
557	33159	12657
558	33238	12605
559	33307	12549
560	33351	12484
561	33394	12418
562	33437	12353
563	33491	12292
564	33551	12232
565	33618	12176
566	33681	12118
567	33747	12061
568	33812	12003
569	33876	11946
570	33939	11887
571	33986	11824
572	34033	11760
573	34093	11701
574	34149	11640
575	34224	11586
576	34282	11526
577	34346	11468
578	34405	11408
579	34463	11349
580	34521	11289
581	34582	11230
582	34640	11170
583	34695	11109
584	34751	11049
585	34812	10990
586	34876	10932
587	34946	10876
588	35015	10819
589	35076	10760
590	35138	10701
591	35185	10638
592	35226	10573
593	35283	10513
594	35339	10453
595	35409	10397
596	35486	10342
597	35579	10293
598	35655	10238
